
[2020-07-31 17:07:17.230] Humidity: 46.90 %, Temp: 23.00 Celsius
[2020-07-31 17:07:17.237] Humidity: 47.10 %, Temp: 23.00 Celsius
[2020-07-31 17:07:17.237] Humidity: 47.30 %, Temp: 23.00 Celsius
[2020-07-31 17:07:17.237] Humidity: 47.40 %, Temp: 23.00 Celsius
[2020-07-31 17:07:17.237] Humidity: 47.10 %, Temp: 22.90 Celsius
[2020-07-31 17:07:17.237] Humidity: 47.00 %, Temp: 22.90 Celsius
[2020-07-31 17:07:17.237] Humidity: 46.90 %, Temp: 22.80 Celsius
[2020-07-31 17:07:17.237] Humidity: 47.80 %, Temp: 22.80 Celsius
[2020-07-31 17:07:17.237] Humidity: 48.70 %, Temp: 22.80 Celsius
[2020-07-31 17:07:17.237] Humidity: 49.10 %, Temp: 22.80 Celsius
[2020-07-31 17:07:17.237] Humidity: 49.00 %, Temp: 22.70 Celsius
[2020-07-31 17:07:17.237] Humidity: 48.70 %, Temp: 22.70 Celsius
[2020-07-31 17:07:19.049] Humidity: 48.80 %, Temp: 22.70 Celsius
[2020-07-31 17:07:21.056] Humidity: 48.80 %, Temp: 22.70 Celsius
[2020-07-31 17:07:23.063] Humidity: 48.50 %, Temp: 22.60 Celsius
[2020-07-31 17:07:25.070] Humidity: 48.60 %, Temp: 22.60 Celsius
[2020-07-31 17:07:27.077] Humidity: 48.80 %, Temp: 22.60 Celsius
[2020-07-31 17:07:29.084] Humidity: 48.90 %, Temp: 22.50 Celsius
[2020-07-31 17:07:31.094] Humidity: 48.90 %, Temp: 22.50 Celsius
[2020-07-31 17:07:33.101] Humidity: 49.00 %, Temp: 22.50 Celsius
[2020-07-31 17:07:35.108] Humidity: 49.10 %, Temp: 22.50 Celsius
[2020-07-31 17:07:37.115] Humidity: 49.10 %, Temp: 22.40 Celsius
[2020-07-31 17:07:39.123] Humidity: 49.10 %, Temp: 22.40 Celsius
[2020-07-31 17:07:41.129] Humidity: 49.20 %, Temp: 22.40 Celsius
[2020-07-31 17:07:43.140] Humidity: 49.30 %, Temp: 22.40 Celsius
[2020-07-31 17:07:45.147] Humidity: 49.40 %, Temp: 22.40 Celsius
[2020-07-31 17:07:47.154] Humidity: 49.50 %, Temp: 22.30 Celsius
[2020-07-31 17:07:49.161] Humidity: 49.50 %, Temp: 22.30 Celsius
[2020-07-31 17:07:51.168] Humidity: 49.60 %, Temp: 22.30 Celsius
[2020-07-31 17:07:53.179] Humidity: 49.60 %, Temp: 22.30 Celsius
[2020-07-31 17:07:55.186] Humidity: 49.60 %, Temp: 22.20 Celsius
[2020-07-31 17:07:57.193] Humidity: 49.60 %, Temp: 22.20 Celsius
[2020-07-31 17:07:59.200] Humidity: 49.60 %, Temp: 22.20 Celsius
[2020-07-31 17:08:01.207] Humidity: 49.70 %, Temp: 22.20 Celsius
