millis,stamp,datetime,temp
999,1497825202, 2019/6/18 22:33:22,19
1999,1497825203, 2019/6/18 22:33:23,19
2999,1497825204, 2019/6/18 22:33:24,19
3999,1497825205, 2019/6/18 22:33:25,19
4999,1497825206, 2019/6/18 22:33:26,19
5999,1497825207, 2019/6/18 22:33:27,19
6999,1497825208, 2019/6/18 22:33:28,19
8000,1497825209, 2019/6/18 22:33:29,19
8999,1497825210, 2019/6/18 22:33:30,19
9999,1497825211, 2019/6/18 22:33:31,19
10998,1497825212, 2019/6/18 22:33:32,19
11999,1497825213, 2019/6/18 22:33:33,19
12999,1497825214, 2019/6/18 22:33:34,19
14000,1497825215, 2019/6/18 22:33:35,19
14999,1497825216, 2019/6/18 22:33:36,19
16000,1497825217, 2019/6/18 22:33:37,19
16999,1497825218, 2019/6/18 22:33:38,19
17999,1497825219, 2019/6/18 22:33:39,19
19000,1497825220, 2019/6/18 22:33:40,19
19999,1497825221, 2019/6/18 22:33:41,19
20999,1497825222, 2019/6/18 22:33:42,19
21999,1497825223, 2019/6/18 22:33:43,19
23000,1497825224, 2019/6/18 22:33:44,19
23999,1497825225, 2019/6/18 22:33:45,19
24998,1497825226, 2019/6/18 22:33:46,19
25999,1497825227, 2019/6/18 22:33:47,19
26999,1497825228, 2019/6/18 22:33:48,19
27999,1497825229, 2019/6/18 22:33:49,19
28999,1497825230, 2019/6/18 22:33:50,19
29999,1497825231, 2019/6/18 22:33:51,19
30999,1497825232, 2019/6/18 22:33:52,19
32000,1497825233, 2019/6/18 22:33:53,19
32999,1497825234, 2019/6/18 22:33:54,19
33999,1497825235, 2019/6/18 22:33:55,19
35000,1497825236, 2019/6/18 22:33:56,19
35999,1497825237, 2019/6/18 22:33:57,19
36999,1497825238, 2019/6/18 22:33:58,19
37999,1497825239, 2019/6/18 22:33:59,19
38999,1497825240, 2019/6/18 22:34:0,19
39999,1497825241, 2019/6/18 22:34:1,19
41000,1497825242, 2019/6/18 22:34:2,19
42000,1497825243, 2019/6/18 22:34:3,19
42999,1497825244, 2019/6/18 22:34:4,19
43999,1497825245, 2019/6/18 22:34:5,19
44999,1497825246, 2019/6/18 22:34:6,19
46000,1497825247, 2019/6/18 22:34:7,19
46999,1497825248, 2019/6/18 22:34:8,19
48000,1497825249, 2019/6/18 22:34:9,18.9
49000,1497825250, 2019/6/18 22:34:10,18.9
49998,1497825251, 2019/6/18 22:34:11,19
50999,1497825252, 2019/6/18 22:34:12,19
51999,1497825253, 2019/6/18 22:34:13,19
52999,1497825254, 2019/6/18 22:34:14,19
53999,1497825255, 2019/6/18 22:34:15,18.9
54999,1497825256, 2019/6/18 22:34:16,18.9
56000,1497825257, 2019/6/18 22:34:17,19
56998,1497825258, 2019/6/18 22:34:18,19
57999,1497825259, 2019/6/18 22:34:19,19
58999,1497825260, 2019/6/18 22:34:20,18.9
59999,1497825261, 2019/6/18 22:34:21,18.9
60999,1497825262, 2019/6/18 22:34:22,18.9
61999,1497825263, 2019/6/18 22:34:23,18.9
62999,1497825264, 2019/6/18 22:34:24,18.9
64000,1497825265, 2019/6/18 22:34:25,18.9
64999,1497825266, 2019/6/18 22:34:26,18.9
65999,1497825267, 2019/6/18 22:34:27,18.9
66999,1497825268, 2019/6/18 22:34:28,18.9
67998,1497825269, 2019/6/18 22:34:29,18.9
68999,1497825270, 2019/6/18 22:34:30,18.9
69998,1497825271, 2019/6/18 22:34:31,18.9
70999,1497825272, 2019/6/18 22:34:32,18.9
71999,1497825273, 2019/6/18 22:34:33,18.9
72998,1497825274, 2019/6/18 22:34:34,18.9
73999,1497825275, 2019/6/18 22:34:35,18.9
74999,1497825276, 2019/6/18 22:34:36,18.9
75999,1497825277, 2019/6/18 22:34:37,18.9
76999,1497825278, 2019/6/18 22:34:38,18.9
77999,1497825279, 2019/6/18 22:34:39,18.9
78999,1497825280, 2019/6/18 22:34:40,18.9
80000,1497825281, 2019/6/18 22:34:41,18.8
80999,1497825282, 2019/6/18 22:34:42,18.8
81998,1497825283, 2019/6/18 22:34:43,18.8
82999,1497825284, 2019/6/18 22:34:44,18.8
83998,1497825285, 2019/6/18 22:34:45,18.8
85000,1497825286, 2019/6/18 22:34:46,18.8
85998,1497825287, 2019/6/18 22:34:47,18.8
87000,1497825288, 2019/6/18 22:34:48,18.8
87999,1497825289, 2019/6/18 22:34:49,18.8
88999,1497825290, 2019/6/18 22:34:50,18.8
90000,1497825291, 2019/6/18 22:34:51,18.8
90999,1497825292, 2019/6/18 22:34:52,18.8
92000,1497825293, 2019/6/18 22:34:53,18.8
92999,1497825294, 2019/6/18 22:34:54,18.8
93999,1497825295, 2019/6/18 22:34:55,18.8
94999,1497825296, 2019/6/18 22:34:56,18.8
95998,1497825297, 2019/6/18 22:34:57,18.8
96999,1497825298, 2019/6/18 22:34:58,18.8
97999,1497825299, 2019/6/18 22:34:59,18.8
98999,1497825300, 2019/6/18 22:35:0,18.8
99999,1497825301, 2019/6/18 22:35:1,18.7
100999,1497825302, 2019/6/18 22:35:2,18.7
101999,1497825303, 2019/6/18 22:35:3,18.7
102999,1497825304, 2019/6/18 22:35:4,18.7
104000,1497825305, 2019/6/18 22:35:5,18.7
104998,1497825306, 2019/6/18 22:35:6,18.7
105999,1497825307, 2019/6/18 22:35:7,18.7
106998,1497825308, 2019/6/18 22:35:8,18.7
107999,1497825309, 2019/6/18 22:35:9,18.7
108999,1497825310, 2019/6/18 22:35:10,18.7
109999,1497825311, 2019/6/18 22:35:11,18.7
110999,1497825312, 2019/6/18 22:35:12,18.7
111998,1497825313, 2019/6/18 22:35:13,18.7
112999,1497825314, 2019/6/18 22:35:14,18.7
113999,1497825315, 2019/6/18 22:35:15,18.7
115000,1497825316, 2019/6/18 22:35:16,18.7
115999,1497825317, 2019/6/18 22:35:17,18.7
116999,1497825318, 2019/6/18 22:35:18,18.7
117999,1497825319, 2019/6/18 22:35:19,18.7
119000,1497825320, 2019/6/18 22:35:20,18.7
119999,1497825321, 2019/6/18 22:35:21,18.7
120998,1497825322, 2019/6/18 22:35:22,18.7
122000,1497825323, 2019/6/18 22:35:23,18.6
122999,1497825324, 2019/6/18 22:35:24,18.6
124000,1497825325, 2019/6/18 22:35:25,18.6
124998,1497825326, 2019/6/18 22:35:26,18.7
125999,1497825327, 2019/6/18 22:35:27,18.7
126999,1497825328, 2019/6/18 22:35:28,18.7
127998,1497825329, 2019/6/18 22:35:29,18.7
129000,1497825330, 2019/6/18 22:35:30,18.7
129999,1497825331, 2019/6/18 22:35:31,18.7
131000,1497825332, 2019/6/18 22:35:32,18.6
